paper_id,paper_citation,category,subcategory,tool,usage
1,"(Adhikari, 2024)",Security,Static Code Security Testing,SonarQube,Used to identify code quality and security issues through static code analysis integrated early in the DevSecOps pipeline.
1,"(Adhikari, 2024)",Security,Software Composition Analysis (SCA),OWASP Dependency-Check,Analyzes project dependencies for publicly disclosed vulnerabilities in included libraries.
1,"(Adhikari, 2024)",Security,Static Code Security Testing,Checkmarx,Commercial SAST solution providing deep code analysis and detailed vulnerability reports in CI/CD pipelines.
1,"(Adhikari, 2024)",Security,Dynamic Application Security Testing (DAST),OWASP ZAP,DAST tool for identifying vulnerabilities in running applications; supports automation and integration with DevOps pipelines.
1,"(Adhikari, 2024)",Security,Container Security,Clair,Static vulnerability analyzer for containers; scans container images for known vulnerabilities.
1,"(Adhikari, 2024)",Security,Infrastructure as Code (IaC) Security,Checkov,"IaC scanner for Terraform, CloudFormation, and Kubernetes to detect misconfigurations and security policy violations."
2,"(Akinbolaji et al., 2024)",Analytics & Monitoring,Metrics Collection and Alerting,Prometheus,Used for collecting and querying metrics data from cloud systems and services; supports alerting to detect anomalies proactively.
2,"(Akinbolaji et al., 2024)",Analytics & Monitoring,Visualization and Dashboarding,Grafana,Visualizes metrics data from Prometheus; enables real-time dashboards for observing system performance and health.
2,"(Akinbolaji et al., 2024)",Security,Secret Storage and Access Policies,HashiCorp Vault,Provides secure storage and management of sensitive information such as API keys and passwords in the DevOps pipeline.
3,"(Ambade et al., 2021)",Requirement Engineering & Tracking,Safety and Liveness Validation,RV-SLC,A tool that performs regression validation of safety and liveness constraints on requirement goal models across multiple iterations of the DevOps lifecycle. Integrates with the Plan phase to monitor evolving requirements and compliance with SL-Props.
3,"(Ambade et al., 2021)",Analytics & Monitoring,Requirement Lifecycle Dashboard,RV-SLC Dashboard,"Provides tabular and graphical views to analyze requirement changes, goal model complexity, and evolution of constraints across increments."
4,"(Angara et al., 2020)",Collaboration & Project Management,Agile Project Management,Go/No-Go Decision Algorithm,Naive Bayes-based feasibility classifier for project decision-making before sprint execution using 21 project factors.
4,"(Angara et al., 2020)",Data Management & Mining,Planning Poker,e-Planning Poker,"Effort estimation model using weighted participant scores based on past performance, technical knowledge, collaboration, and domain knowledge."
4,"(Angara et al., 2020)",Analytics & Monitoring,Maturity Analysis,Project Maturity Assessment Tool,"Excel-based tool to compute sprint maturity using metrics like mean, standard deviation, and coefficient of variation across 21 project factors."
4,"(Angara et al., 2020)",Analytics & Monitoring,Sentiment Analysis,Project Sentiment Analysis Tool,Natural Language Opinion (NLO)-based tool to analyze communication sentiment across stakeholders and plot sentiment trends over sprints.
5,"(Antara et al., 2024)",Build & CI/CD,Workflow Orchestration,GitHub Actions,"Provides native automation for CI/CD pipelines using event-driven workflows, enabling tasks like code testing, building, and deployment on GitHub repositories."
5,"(Antara et al., 2024)",Build & CI/CD,Workflow Orchestration,GitLab CI,"Built-in automation for CI/CD processes within GitLab, managing builds, tests, and deployments through `.gitlab-ci.yml` pipeline definitions."
5,"(Antara et al., 2024)",Cloud Infrastructure & IaC,Infrastructure as Code,Terraform,"Enables provisioning and managing infrastructure across cloud providers through declarative configuration files, often integrated in CI/CD workflows."
5,"(Antara et al., 2024)",Cloud Infrastructure & IaC,Infrastructure as Code,Pulumi,"Supports cloud infrastructure automation using general-purpose languages, offering flexibility in defining IaC within cloud CI/CD pipelines."
5,"(Antara et al., 2024)",Build & CI/CD,Continuous Deployment,ArgoCD,"Declarative GitOps-based continuous delivery tool for Kubernetes, used for synchronizing application state with the Git repository."
5,"(Antara et al., 2024)",Containerization & Orchestration,Container Orchestration,Kubernetes,"Automates container deployment, scaling, and management; integrates with tools like Argo CD and Terraform in cloud-native CI/CD workflows."
6,"(Awad et al., 2025)",Cloud Infrastructure & IaC,Automated Tool Selection,VeriFogOps,Framework for automatically selecting DevOps tools and generating CI/CD pipelines tailored for fog system verification at deployment time.
6,"(Awad et al., 2025)",Application Deployment & Orchestration,Pipeline Generation,GitLab,Used within VeriFogOps to integrate CI/CD workflows and facilitate automated deployment in fog computing environments.
6,"(Awad et al., 2025)",Containerization & Orchestration,Microservice Deployment,Docker,Used by VeriFogOps for packaging and deploying fog services as containers across distributed infrastructure.
6,"(Awad et al., 2025)",Application Deployment & Orchestration,Fog Infrastructure Management,Kubernetes,Enables orchestration and scaling of containerized fog services generated by VeriFogOps pipelines.
7,"(Barros et al., 2020)",Data Management & Mining,DevOps Repository Mining,gthbmining.rc,"A custom-built Python tool for mining public GitHub repositories to predict release candidates based on feature-commit relationships, contributor activity, and commit timing patterns."
7,"(Barros et al., 2020)",AI & Machine Learning,Release Prediction,XGBoost,Used within the gthbmining.rc pipeline to train predictive models for determining candidate releases based on extracted repository features and commit metadata.
8,"(Begoug et al., 2024)",Cloud Infrastructure & IaC,Quality Assessment,TerraMetrics,"An open-source tool that statically analyzes Terraform configuration files to extract quality metrics such as size, modularity, complexity, and consistency."
8,"(Begoug et al., 2024)",Cloud Infrastructure & IaC,IaC Best Practices,TerraMetrics,Supports DevOps teams by offering feedback on IaC quality and recommending improvements to meet maintainability and readability standards in Terraform code.
8,"(Begoug et al., 2024)",Cloud Infrastructure & IaC,Automation Support,TerraMetrics,Facilitates integration into CI/CD pipelines to ensure automated IaC code quality validation before deployment.
9,"(Bento et al., 2023)",Collaboration & Project Management,Agile/Scrum Management,Azure DevOps,"Used in educational environments for managing student projects, Azure DevOps supports Scrum-based workflows, backlog tracking, sprint planning, and team activity monitoring. It was preferred over Jira due to simplicity and free access for small teams, enabling version control integration, work item tracking, dashboards, and collaboration among students and instructors."
10,"(Bernardino et al., 2024)",Security,Security Issue Management,Bulk Issue Creator (BIC),"Automates the process of creating JIRA issues based on the results of the OWASP-ASVS checklist, enabling continuous security validation in DevSecOps pipelines."
10,"(Bernardino et al., 2024)",Security,Checklist-Based Verification,OWASP-ASVS,A security verification standard used as a checklist for manual security validation of applications integrated with automated tooling like BIC.
10,"(Bernardino et al., 2024)",Cloud Infrastructure & IaC,Version Monitoring,Version Checker,"Monitors deployed services to ensure they are up-to-date with the latest versions, reducing vulnerability risks in internal infrastructure."
10,"(Bernardino et al., 2024)",Cloud Security,Storage Monitoring,Cloud Cleaner,"Scans cloud environments for unused and potentially insecure shared folders, reporting misconfigurations to improve data confidentiality and integrity."
10,"(Bernardino et al., 2024)",Collaboration & Project Management,Issue Tracking,JIRA,Used in conjunction with BIC for tracking security vulnerabilities as issues within DevSecOps workflows.
11,"(Cankar et al., 2023)",Code Quality & Analysis,Automated Testing,Veracode,Commercial SAST and DAST tool used to perform code scanning during verification; integrated into CI/CD pipelines for proactive detection of vulnerabilities.
11,"(Cankar et al., 2023)",Security,Machine Learning-Based Anomaly Detection,Isolation Forest,"Anomaly detection algorithm used for identifying abnormal behavior in logs and metrics, enhancing security monitoring capabilities in DevSecOps environments."
11,"(Cankar et al., 2023)",Security,Machine Learning-Based Anomaly Detection,One-Class SVM,Machine learning model employed to detect security-related anomalies from monitoring data during runtime in DevSecOps practices.
11,"(Cankar et al., 2023)",Security,Log Analysis,ELK Stack,"Used to collect, analyze, and visualize logs in real time for security and operational monitoring; supports anomaly and threat detection workflows."
12,"(Carrillo-de-Gea et al., 2024)",Requirement Engineering & Tracking,Requirement Modeling,Enterprise Architect,"A UML-based modeling tool that supports use case diagrams, requirement traceability, and project management features within software development lifecycles."
12,"(Carrillo-de-Gea et al., 2024)",Requirement Engineering & Tracking,Requirement Analysis,Jama Connect,"Manages requirements, test cases, and risk analysis. Facilitates collaboration and traceability throughout the product lifecycle."
12,"(Carrillo-de-Gea et al., 2024)",Requirement Engineering & Tracking,Requirement Management,IBM Rational DOORS,"Captures, tracks, analyzes, and manages requirement changes to ensure traceability and compliance in large systems development."
12,"(Carrillo-de-Gea et al., 2024)",Requirement Engineering & Tracking,Collaborative Engineering,ReqView,"Lightweight tool for writing, structuring, and reviewing software requirements. Enables linking of requirements to risks, tests, and source code."
13,"(Dachepally, 2025)",Security,Static Code Security Testing,SonarQube,Analyzes source code before compilation to identify vulnerabilities early in development.
13,"(Dachepally, 2025)",Security,Static Code Security Testing,Checkmarx,Performs static code analysis to find security flaws during development.
13,"(Dachepally, 2025)",Security,Static Code Security Testing,Fortify,Used for static security analysis across software projects to detect vulnerabilities pre-deployment.
13,"(Dachepally, 2025)",Security,Dynamic Application Security Testing (DAST),OWASP ZAP,Scans running applications to detect vulnerabilities such as SQL injection and XSS.
13,"(Dachepally, 2025)",Security,Dynamic Application Security Testing (DAST),Burp Suite,Intercepts and tests live HTTP traffic to identify security weaknesses.
13,"(Dachepally, 2025)",Security,Dynamic Application Security Testing (DAST),AppScan,Performs dynamic analysis on web applications to discover runtime vulnerabilities.
13,"(Dachepally, 2025)",Configuration & Dependency Management,Software Composition Analysis (SCA),WhiteSource,Scans open-source dependencies for known security vulnerabilities.
13,"(Dachepally, 2025)",Configuration & Dependency Management,Software Composition Analysis (SCA),Snyk,Finds and fixes vulnerabilities in open-source dependencies.
13,"(Dachepally, 2025)",Configuration & Dependency Management,Software Composition Analysis (SCA),Black Duck,"Analyzes third-party components for security, license, and operational risks."
13,"(Dachepally, 2025)",Cloud Infrastructure & IaC,Infrastructure as Code (IaC) Scanning,Checkov,Scans IaC templates for security misconfigurations before infrastructure provisioning.
13,"(Dachepally, 2025)",Cloud Infrastructure & IaC,Infrastructure as Code (IaC) Scanning,KICS,"Identifies IaC misconfigurations in tools like Terraform, Kubernetes."
13,"(Dachepally, 2025)",Cloud Infrastructure & IaC,Infrastructure as Code (IaC) Scanning,tfsec,Security scanner for Terraform code to catch vulnerabilities pre-deployment.
14,"(Duclervil and Zunnurhain, 2019)",Security,Security Modeling,Custom DevSecOps Web Tool,"An academic prototype that allows users to define security plans, assign roles, conduct tests, and model threats; built to evaluate DevSecOps practices in web-based project management."
14,"(Duclervil and Zunnurhain, 2019)",Web Frameworks,Frontend Development,"HTML5, CSS, JavaScript",Used to build the user interface for a DevSecOps-based project management tool supporting visualization and interaction.
14,"(Duclervil and Zunnurhain, 2019)",Networking & Automation,Server-side Scripting,PHP,"Used to handle form submissions, server-side logic, and database interaction for the DevSecOps web tool."
14,"(Duclervil and Zunnurhain, 2019)",Collaboration & Project Management,Task Scheduling and Tracking,Google Calendar API,Embedded in the project management system to enable task scheduling and event tracking; supports time management in DevSecOps workflows.
15,"(Faqih et al., 2024)",Build & CI/CD,Workflow Automation,GitHub Actions,"Native CI/CD automation service from GitHub enabling developers to define workflows that automatically build, test, and deploy code."
15,"(Faqih et al., 2024)",Build & CI/CD,Testing,pytest,Python testing framework frequently used in GitHub Actions workflows for unit and integration tests.
15,"(Faqih et al., 2024)",Build & CI/CD,Build Tools,Maven,"Java-based build automation tool commonly used for compiling, testing, and packaging projects in GitHub Actions workflows."
15,"(Faqih et al., 2024)",Build & CI/CD,Build Tools,Gradle,Flexible build automation tool for Java and Android projects integrated with GitHub Actions for compiling and testing code.
15,"(Faqih et al., 2024)",Containerization & Orchestration,Container Build & Deployment,Docker,Used in GitHub Actions workflows to build and deploy containerized applications with consistent runtime environments.
15,"(Faqih et al., 2024)",Code Quality & Analysis,Linting and Formatting,ESLint,Static code analysis tool for JavaScript used in GitHub Actions to enforce code quality and styling standards.
15,"(Faqih et al., 2024)",Security,Secrets Management,GitHub Secrets,Secure storage for credentials and environment variables used within GitHub Actions to protect sensitive data during CI/CD operations.
16,"(Giamattei et al., 2024)",Analytics & Monitoring,Logging and Metrics,Prometheus,Collects time-series metrics and enables alerting for infrastructure and services in DevOps and microservices.
16,"(Giamattei et al., 2024)",Analytics & Monitoring,Visualization,Grafana,Used for real-time visualization of metrics data from Prometheus and other data sources in microservices monitoring.
16,"(Giamattei et al., 2024)",Analytics & Monitoring,Logging,"ELK Stack (Elasticsearch, Logstash, Kibana)","Facilitates centralized log management, analysis, and dashboarding for microservices-based applications."
16,"(Giamattei et al., 2024)",Analytics & Monitoring,Distributed Tracing,Jaeger,Provides distributed transaction monitoring and root cause analysis in microservices.
17,"(Gowda et al., 2024)",Build & CI/CD,Pipeline Automation,Jenkins,"Popular open-source automation server used for building, testing, and deploying applications with customizable pipelines."
17,"(Gowda et al., 2024)",Build & CI/CD,Pipeline Automation,GitLab CI/CD,"Integrated CI/CD pipeline service in GitLab, facilitating code versioning, testing, and deployment within a unified interface."
17,"(Gowda et al., 2024)",Containerization & Orchestration,Container Build & Orchestration,Docker,Enables containerized application builds for consistent runtime environments across stages of the CI/CD pipeline.
17,"(Gowda et al., 2024)",Containerization & Orchestration,Container Orchestration,Kubernetes,"Automates the deployment, scaling, and management of containerized applications in production environments."
17,"(Gowda et al., 2024)",Configuration & Dependency Management,Infrastructure Automation,Ansible,Used to automate infrastructure provisioning and software deployment tasks in a reproducible and scalable way.
17,"(Gowda et al., 2024)",Analytics & Monitoring,Log Aggregation and Visualization,"ELK Stack (Elasticsearch, Logstash, Kibana)","A suite of tools for aggregating, analyzing, and visualizing log data, commonly used in post-deployment monitoring."
17,"(Gowda et al., 2024)",Source Code & Version Control,Source Code Management,Git,Distributed version control system used for source code management and integration with CI/CD tools.
18,"(Ho-Dac and Vo, 2024)",Build & CI/CD,Continuous Integration and Deployment,Jenkins,An open-source automation server used to implement CI/CD pipelines. Jenkins integrates with various tools to build and deploy software efficiently.
18,"(Ho-Dac and Vo, 2024)",Security,Static Code Security Testing,Security Code Scan,A static code analysis tool that scans .NET applications for security vulnerabilities and integrates easily into CI/CD pipelines.
18,"(Ho-Dac and Vo, 2024)",Security,Dynamic Application Security Testing (DAST),OWASP ZAP,An open-source DAST tool that simulates attacks on web applications during runtime to detect vulnerabilities such as XSS and SQL injection.
18,"(Ho-Dac and Vo, 2024)",Code Quality & Analysis,Source Code Quality Analysis,SonarQube,"Analyzes code quality, detects bugs, and provides metrics. It supports integration with CI servers and IDEs for continuous code inspection."
18,"(Ho-Dac and Vo, 2024)",Configuration & Dependency Management,Vulnerability Scanning,OWASP Dependency Check,Scans project dependencies for known vulnerabilities in third-party libraries and reports CVEs using NVD and other public sources.
18,"(Ho-Dac and Vo, 2024)",Analytics & Monitoring,Pipeline Monitoring,Prometheus,An open-source monitoring toolkit that collects metrics from configured targets and visualizes CI/CD build and security testing performance.
19,"(Kersten, 2018)",Source Code & Version Control,Distributed Source Control,Git,Widely adopted distributed version control system that replaced heavyweight tools like Rational ClearCase; highlighted as central to bottom-up DevOps tool democratization.
19,"(Kersten, 2018)",DevOps Platforms & Tools,Integrated Software Lifecycle,Rational ClearCase,Previously dominant version control tool in enterprise IT; example of heavyweight top-down tools displaced by agile and DevOps movements.
19,"(Kersten, 2018)",Collaboration & Project Management,Enterprise Agile Planning,Jira,Used in Java teams for agile backlog tracking and planning; contrasted with Azure DevOps (VSTS) in Microsoft-centric ecosystems.
19,"(Kersten, 2018)",Collaboration & Project Management,Microsoft Ecosystem Planning,Azure DevOps (VSTS),"Preferred by .NET and Azure-based teams for managing requirements, planning, and integration in enterprise environments."
19,"(Kersten, 2018)",Requirement Engineering & Tracking,Lightweight Tracking,GitHub Issues,Mentioned as a lightweight issue tracking tool suitable for early-stage or experimental products in transformation zones.
19,"(Kersten, 2018)",Collaboration & Project Management,Product-Oriented Value Stream Management,Product Management Tools,Described as an emerging category enabling long-term product-focused value streams as opposed to project-based lifecycles.
20,"(Kolli et al., 2023)",Cloud Infrastructure & IaC,Provisioning,Terraform,Used to provision cloud resources with declarative configuration; supports reproducibility in DevOps environments.
20,"(Kolli et al., 2023)",Configuration & Dependency Management,Deployment Automation,Ansible,Automates software configuration and deployment using YAML-based playbooks.
20,"(Kolli et al., 2023)",Containerization & Orchestration,Container Management,Docker,Provides lightweight containerization for application deployment and isolation.
20,"(Kolli et al., 2023)",Containerization & Orchestration,Container Orchestration,Kubernetes,"Manages deployment, scaling, and operations of containerized applications across clusters."
21,"(Lazarus et al., 2024)",DevOps Platforms & Tools,Process Assessment and Collaboration,DSO-PACT,"Web-based tool for integrating Reliability and Maintainability (R&M) into DevSecOps by enabling lifecycle-wide collaboration, readiness tracking, and dashboard-based phase monitoring."
21,"(Lazarus et al., 2024)",Collaboration & Project Management,Activity Tracking,DSO-PACT,"Supports planning, assigning, and monitoring tasks across DevSecOps phases with configurable thresholds, filters, and discipline-based tags."
21,"(Lazarus et al., 2024)",Testing & Quality Assurance,Digital Threading and Metrics,DSO-PACT,"Provides digital threading across DevSecOps phases with readiness metrics, supporting both self-assessment and test-based validations using R&M standards."
22,"(Li and Shih, 2021)",Build & CI/CD,Pipeline Automation,Custom Open-Source Integrating Platform,"A one-key integration platform that connects various open-source tools to automate pipelines, including code scanning, building, functional testing, black-box and white-box testing, enhancing efficiency and interoperability."
22,"(Li and Shih, 2021)",Containerization & Orchestration,Multi-task Execution,Rancher,"Used to support multi-task execution and interconnection module compilation, enhancing scalability and reducing test time from 7 to 1 day."
22,"(Li and Shih, 2021)",Collaboration & Project Management,Admin Interface Extension,Redmine + Kanban Module,"Extended Redmine with Kanban-style UI for filtering issues by version or member, allowing team collaboration and issue tracking."
22,"(Li and Shih, 2021)",Identity and Access Management,Single Sign-On,Custom Single Sign-In Module,"Provides unified authentication across tools, enabling seamless sign-in with a single key, reducing administrative overhead and enhancing collaboration."
23,"(Luki et al., 2025)",Data Management & Mining,Web Scraping,BeautifulSoup,Used for parsing and cleaning HTML content during news scraping.
23,"(Luki et al., 2025)",Data Management & Mining,Web Scraping,Scrapy,Suggested as an alternative tool for web scraping tasks.
23,"(Luki et al., 2025)",Data Management & Mining,Data Manipulation,Polars,Used for efficient data preprocessing and handling large datasets.
23,"(Luki et al., 2025)",Data Management & Mining,Data Manipulation,Pandas,Suggested for traditional data manipulation and cleaning.
